ID,prd_code_sku,company,name_internal,vendor,productgroup,werksoort,costcenter,uursoort,discountgroup,currency,salesprice
1c6ca5ea-6a4c-43fb-8b3d-6dc2cd52dd27,ZZZ-ASM-LV5-713.99000,MUN,Assemblage van LV5 met Huba 713.99000,Spaarnewerkt,ISA Internal Sub Assemblies (not for sale),,,,,,5.50
0fcaf9d8-7f4d-4efe-aef7-c90277f6a60f,ZZZ-ASM-LV5-713.99001,MUN,Assemblage van LV5 met Huba 713.99001,Spaarnewerkt,ISA Internal Sub Assemblies (not for sale),,,,,,5.50
05ae6e3d-ba22-484d-8c62-63d9b06c39fc,ZZZ-ASM-LV5-713.99002,MUN,Assemblage van LV5 met Huba 713.99002,Spaarnewerkt,ISA Internal Sub Assemblies (not for sale),,,,,,5.50
01f0381b-b0aa-4aac-b3a7-2c0448f4efa7,ZZZ-BAT-LIION-2S4P-7.4V-14000mAh-PH-3P,MUN,GEB 18650-2S4P  7.4V 14000mAh Li-ion Battery pack PH-3P,,ISA Internal Sub Assemblies (not for sale),,Noise,,,,0.00
e1706dae-91e0-44b4-8c3d-9ab8c79ba01e,ZZZ-BAT-LIION-4S6PX148X200,MUN,"LiIon Battery, 4S6P, 14.8V, 20Ah, 299KWh",General Electronics Batter Ltd,ISA Internal Sub Assemblies (not for sale),,General,,,,118.00
2b464e21-d64f-4408-b9d2-b2ddf7ad6f43,ZZZ-BAT-PCK-7.4V-10200,MUN,2S3P 7.4V,,,,,,,,
6429ffda-b452-4dc9-9451-48dd107d589d,10200mAh,,,,,,,,,,
8e6a8a02-96a2-4e90-9ad1-08d7a577aff8,Li‐ion,,,,,,,,,,
a1abd0a9-6497-41ce-89c6-a2ea81543177,Battery pack,,,,,,,,45.00,,
83293961-6f34-4521-8c77-8d4a1712f250,ZZZ-BAT-PCK-7.4V-14000-Micro-Fit+215759,MUN,"GEB 18650-2S4P, 7.4v 14000mah Micro-Fit+ 215759 Series, Receptacle, 3",,,,,,,,
8ed89548-7a08-4d3d-9f02-94466234106d,"Ways, 3 mm",,,,,,,,0.00,,
b4a1eeb8-c1ed-4675-84b3-f027709b906a,zzz_Cellpack_Jumbo_Gel,MUN,Jumbo Gel 10000ml,,ISA Internal Sub Assemblies (not for sale),inkoop derden,General,,,,0.00
9e8767bf-c8b9-453c-a5c2-607867b21cd1,ZZZ-CH-OWA-60E-24,MUN,Mean Well OWA-60E-24,Telerex Nederland BV,ISA Internal Sub Assemblies (not for sale),inkoop derden,Smartcity,,,,0.00
10b5b85b-99e6-46e8-b6fd-32eca726a06c,ZZZ-CONN-M8-3P-F,MUN,M8 connector A-gecodeerd 3-pins bus Female,Reichelt Elektronik GmbH,ISA Internal Sub Assemblies (not for sale),inkoop derden,Water,,Hardware-Water,,0.00
a7304d3f-e351-47f8-ab7c-0ace97fa54a8,ZZZ-CONN-M8-3P-M,MUN,M8 connector A-gecodeerd 3-pins stekker Male,Reichelt Elektronik GmbH,ISA Internal Sub Assemblies (not for sale),inkoop derden,Water,,Hardware-Water,,0.00
079d3803-b321-4337-9cfc-7e77687c6ccd,"ZZZ-CONTMOER-M12X1,5",MUN,"WISK CONTMOER EMUG M12X1,5",,ISA Internal Sub Assemblies (not for sale),inkoop derden,Water,,,,0.00
482322ae-c068-425b-8b3d-c3b02db7311b,ZZZ-ENC-LID-LV5,MUN,"Hoge Dop - Deksel LV5 behuizing, wordt los gebruikt als onderdeel van antenne kit en van artesische trekontlasting",,ISA Internal Sub Assemblies (not for sale),,Water,,,,10.00
a84a2401-cf2a-4f14-9108-908b7df7e170,ZZZ-ENC-LID-LV5-LOW,MUN,Lage Dop - Deksel LV5 behuizing,GDK plastics,ISA Internal Sub Assemblies (not for sale),,Water,,,,10.00
694b0ba8-7ad8-4e40-9b11-04047d546127,ZZZ-ENC-Oring-10mm,MUN,O-Ring  FKM 10mm,Eriks BV,,,,,,,0.00
a8411c08-af69-406b-94c3-e41602e12f13,ZZZ-ENC-WAT1H,MUN,"Water Enclosure, single height, high lid",GDK plastics,ISA Internal Sub Assemblies (not for sale),,Water,,,,8.00
c294f664-bd4f-49bb-992b-36383f463d7f,ZZZ-ENC-WAT1L,MUN,"Water Enclosure, short",GDK plastics,ISA Internal Sub Assemblies (not for sale),,Water,,,,8.00
acce7004-9f88-499a-9d43-132dfa175b54,ZZZ-ENC-WATER-RING-RXEPDM-LV5,MUN,Ring for LV5,Eriks BV,,,,,,,0.00
bac660a9-5ac6-455e-aa23-60d9ca597cac,ZZZ-eSIM-ROAMING-1MB,MUN,SIM Roaming 1MB T-Mobile NL,IOT Unlimited BV,,,Water,,,,0.00
d5e5678d-c4ac-41cd-b772-533141783404,ZZZ-GLND-IP68-M12-BLUE,MUN,Blueglobe Gland M12,,ISA Internal Sub Assemblies (not for sale),,Water,,,,1.00
53194633-cef9-4aa4-b554-b9a4a96b4ab0,ZZZ-GLND-IP68-M12-GEN,MUN,Generic Gland M12,,ISA Internal Sub Assemblies (not for sale),,Water,,,,1.00
daec368f-4ecb-43f3-ac58-a4fc93ac5d28,ZZZ-GLND-IP68-M16-GEN,MUN,Generic Gland M16,,ISA Internal Sub Assemblies (not for sale),,Water,,,,3.00
5e0b435d-fc31-4d84-8c53-7c2d19c20331,ZZZ-Mast-Manfrotto-schuifmast-720cm,MUN,Manfrotto 269HDBU 720cm,Thomann,TPP Third Party Products,inkoop derden,Noise,,,,455.00
e0c6e556-b142-4cb3-8eb0-1de2743ae5c1,zzz-mdm-PCIE SIM7100E,MUN,"LTE Mini PCIe SIM7100E Module, TDD-LTE/FDD-LTE/WCDMA/GSM/GNSS",,ISA Internal Sub Assemblies (not for sale),,,,,,0.00
5e0c1521-9f5a-4944-b7a6-f49d457ea9c1,ZZZ-PCB-WATER2V4V2,MUN,Water PCB version 2V4V2 assembled,A1 Electronics,ISA Internal Sub Assemblies (not for sale),,Water,,,,100.00
34674f95-8c07-4a4d-b79e-627b30a5c990,ZZZ-PCB-WATER2V5V0,MUN,Water PCB version 2V5V0 assembled,A1 Electronics,ISA Internal Sub Assemblies (not for sale),,Water,,,,100.00
a0fbccc5-cb71-407f-8eeb-84448fc190b9,ZZZ-PCB-WATER2V7V1,MUN,Water PCB version 2V7V1 assembled,A1 Electronics,ISA Internal Sub Assemblies (not for sale),,Water,,,,100.00
ef981d88-3a50-4c7c-baf5-1c893b652b47,ZZZ-PIG-UFL-RPSMAF-113-150MM-GR,MUN,"Pigtail, UFL to RP SMA(F), 1.13 coax, Grey, L=150mm (end to end)",Wellshow,ISA Internal Sub Assemblies (not for sale),,Water,,,,1.55
e1ec767b-7174-402d-bbfd-038794f4f32a,ZZZ-SIM-ROAMING-1MB,MUN,SIM Roaming 1MB,VTM IoT (M2M Services BV),,,,,,,0.00
39b0b421-c446-4a37-a36c-81e85b3ff78c,ZZZ-SNS-PRESS-A712-CUSTOM,MUN,"712.xxxxx - Absolute, ratio-metric, ceramic pressure transmitter, 25mm, range and cable length TBD,",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,0.00
af9ea477-4830-4262-8c82-aa6bc14707c6,ZZZ-SNS-PRESS-A713-30L10,MUN,713.8120308110   Analoge sensor  met 30 meter kabel  meetbereik 10 meter,Huba Control,,,Water,,,,0.00
c4d6c977-3374-4bbd-bf01-71a37ab0c832,ZZZ-SNS-PRESS-A713-CUSTOM,MUN,"713.xxxxx - Absolute, ratio-metric, ceramic pressure transmitter, 18mm, range and cable length TBD,",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,0.00
e34f518c-66a2-4b4f-bf12-450785c37cd2,ZZZ-SNS-PRESS-D712-4L05,MUN,"712.99016 - Absolute ceramic pressure transmitter 0.8-1.4 bar (H712; 25 mm), 5 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,106.79
bebbb29f-957d-4821-847a-eda175971862,ZZZ-SNS-PRESS-D712-4L10,MUN,"712.99017 - Absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D712; 25 mm), 10 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,105.25
61eecc55-e661-49ad-9978-77f200c10db4,ZZZ-SNS-PRESS-D712-4L25,MUN,"713.99024 - Absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D712; 25 mm), 25 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,150.00
c9c8c47d-66f4-494e-99a6-248d8cbf8afd,ZZZ-SNS-PRESS-D713-10L10,MUN,"713.99000 - Absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713; 18 mm), 10 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,114.20
9ba87023-a75a-471f-88ab-78257c467544,ZZZ-SNS-PRESS-D713-10L15,MUN,"713.99002 - Absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713; 18 mm), 15 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,0.00
20c87dd0-3a81-487b-84d9-cb9e3f24ab9b,ZZZ-SNS-PRESS-D713-10L20,MUN,Opmerking,,,,,,,,
4c9bf0b8-2775-4f2f-bcd7-acd0f6303d4d,"713.8120306110 - Absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713; 18 mm), 20 meter cable",,TPP Third Party Products,,Water,,,,0.00,,
91600ec5-3e9d-4527-8871-3c119962703d,ZZZ-SNS-PRESS-D713-10L25,MUN,"713.8120307110 - Absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713; 18 mm), 25 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,244.70
af808b43-22e0-4047-ae0f-b930cf5d6555,ZZZ-SNS-PRESS-D713-20L20,MUN,"713.C140306110 - Absolute ceramic pressure transmitter 0.8-3.0 bar (Huba D713; 18 mm), 20 meter cable",,ISA Internal Sub Assemblies (not for sale),,Water,,,,244.70
5c9defa6-28c1-4b2a-9601-3be1b12ebfe6,ZZZ-SNS-PRESS-D713-4L05,MUN,"713.99001 - Absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713; 18 mm), 5 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,119.30
e14fd625-3b43-4783-8388-6bda5cf306ca,ZZZ-SNS-PRESS-D713-4L10,MUN,"713.990xx - Absolute ceramic pressure transmitter 0.8-1.4 bar (Huba D713; 18 mm), 10 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,114.20
c76b8e42-7bb8-4494-9c2c-4a37c588e4e6,ZZZ-SNS-PRESS-D713811-30L10,MUN,"713.8110308110 - Absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713; 18 mm), 30 meter cable",Huba Control,ISA Internal Sub Assemblies (not for sale),,Water,,,,0.00
614f47c5-691d-4e46-8812-5e68524aec2c,ZZZ-SNS-QUAL-C4E-L3B,MUN,PF-CAP-C-00169 Conductivity digital sensor bare wire 3m C4E,AquaLabo,ISA Internal Sub Assemblies (not for sale),inkoop derden,Water,,,,0.00
bb5d87f1-ecad-44b7-aece-1d4595f2043e,ZZZ-SNS-QUAL-DO-AL-DODISK,MUN,PF-CSO-C-00041 - Strainer with DODISK part for Optod sensor,AquaLabo,ISA Internal Sub Assemblies (not for sale),,Water,,,,214.00
ad9b8d83-abf7-47c4-bf74-93d679267509,ZZZ-SNS-QUAL-DO-AL-L3B,MUN,PF-CAP-C-00418 -  Dissolved Oxygen sensor OPTOD plastic standard Optical Oxygen Sensor 3m Bare Wire Cable. Standard PVC/POMC strainer body version,AquaLabo,ISA Internal Sub Assemblies (not for sale),,Water,,,,1114.26
6df447b1-1944-4679-8a40-ded94aebe3fc,ZZZ-SNS-QUAL-DO-AL-L7B,MUN,"PF-CAP-C-00168 - Dissolved Oxygen sensor, Aqua Labo, 7 meter cable, bare wire",AquaLabo,ISA Internal Sub Assemblies (not for sale),,Water,,,,1114.26
