""Prd.code (SKU)""	""Company""	""Naam intern""	""Standaard leverancier""	""Productgroep""	""Werksoort""	""Kostenplaats""	""Uursoort""	""Kortingsgroep""	""Valuta""	""Verkoopprijs product (standaard)""
""MSLV7RQX-D713-4L05""	""MUN""	""Extended manufacturer warranty for MSLV7A-D713-4L05 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per quarter""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""12,71""
""MSLV7RQX-D713-4L10""	""MUN""	""Extended manufacturer warranty for MSLV7A-D713-4L10 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per quarter""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""45,60""
""MSLV7RYX-D712-4L05""	""MUN""	""Extended manufacturer warranty for MSLV7A-D712-4L05 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""40,80""
""MSLV7RYX-D713-10L10""	""MUN""	""Extended manufacturer warranty for MSLV7A-D713-10L10 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""45,60""
""MSLV7RYX-D713-4L05""	""MUN""	""Extended manufacturer warranty for MSLV7A-D713-4L05 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""44,00""
""MSLV7RYX-D713-4L10""	""MUN""	""Extended manufacturer warranty for MSLV7A-D713-4L10 for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""45,60""
""MSLV8A-36XW-10L05""	""MUN""	""Model LV8, LTE-M or NB-IoT high-precision water level meter with absolute RVS pressure transmitter 0.8-2.0 bar (Keller 36XW; 22 mm diam.), 5 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.198,00""
""MSLV8A-CTD-10L05""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter transmitter 0.8-2.0 bar (Keller 36XW CTD, 22 mm diam.), 5 meter cable, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""2.500,00""
""MSLV8A-D713-10L10""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable, roaming SIM, data setup in portal, non-recurring (VG25002)""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""653,00""
""MSLV8A-D713-10L15""	""MUN""	""Model LV8, LTE-M or NB-IoT water level meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 15 meter cable, roaming SIM, data setup in portal, non-recurring (VG25004)""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""684,00""
