""Prd.code (SKU)""	""Company""	""Naam intern""	""Standaard leverancier""	""Productgroep""	""Werksoort""	""Kostenplaats""	""Uursoort""	""Kortingsgroep""	""Valuta""	""Verkoopprijs product (standaard)""
""MSNPPRCRY-FS""	""MUN""	""Subscription permanent Premium cat. C, portal, helpdesk, full service, mobile internet, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""1.845,00""
""MSNPPRDRY-CI""	""MUN""	""Subscription permanent Premium cat. D, portal, helpdesk, carry-in service, mobile internet, recertification, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""2.095,00""
""MSNPPRDRY-FS""	""MUN""	""Subscription permanent Premium cat. D, portal, helpdesk, full service, mobile internet, recertification, recurring, annual""	""""	""SAM Samenstelling - gebruikt grootboek van onderdelen""	""""	""Noise""	""""	""""	""""	""2.395,00""
""MSNPRORY""	""MUN""	""Portal abonnement Professional, per NMS voor geluiddruk niveau metingen (seconds, audio, geluidgebeurtenissen), per jaar""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""250,00""
""MSNSA-3DWP-PL""	""MUN""	""Noise Meter subassembly, 3D weather protector plastic""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""345,00""
""MSNSA-C1WP-RVS""	""MUN""	""Noise Meter subassembly, Class 1 weather protector RVS""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""495,00""
""MSNSA-C2WP-PL""	""MUN""	""Noise Meter subassembly, Class 2 weather protector plastic""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""195,00""
""MSNSMSN-SAM04""	""MUN""	""Data received from Samurai station upto 4 channels, noise or vibration measurements, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Noise""	""""	""""	""""	""25,00""
""MSNSMSN-SAM16""	""MUN""	""Data received from Samurai station upto 16 channels, noise or vibration measurements, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Noise""	""""	""""	""""	""25,00""
""MSNSMSN-SAM32""	""MUN""	""Data received from Samurai station upto 32 channels, noise or vibration measurements, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Noise""	""""	""""	""""	""25,00""
""MSNSMSRQ-SAM04""	""MUN""	""Data received from Samurai station upto 4 channels, noise or vibration measurements, per 3 months""	""""	""ISPRQ InsightNow Platform, recurring per 3 months""	""""	""""	""""	""""	""""	""225,00""
""MSNSMSRQ-SAM16""	""MUN""	""Data received from Samurai station upto 16 channels, noise or vibration measurements, per 3 months""	""""	""ISPRQ InsightNow Platform, recurring per 3 months""	""""	""""	""""	""""	""""	""375,00""
""MSNSMSRQ-SAM32""	""MUN""	""Data received from Samurai station upto 32 channels, noise or vibration measurements, per 3 months""	""""	""ISPRQ InsightNow Platform, recurring per 3 months""	""""	""""	""""	""""	""""	""585,00""
""MSNSMSRY-SAM04""	""MUN""	""Data received from Samurai station upto 4 channels, noise or vibration measurements, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""900,00""
""MSNSMSRY-SAM16""	""MUN""	""Data received from Samurai station upto 16 channels, noise or vibration measurements, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""1.500,00""
""MSNSMSRY-SAM32""	""MUN""	""Data received from Samurai station upto 32 channels, noise or vibration measurements, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""2.340,00""
""MSNTADRY-NO-4G""	""MUN""	""Option: Advanced: No Munisense SIM""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""-200,00""
""MSNTESRY-NO-4G""	""MUN""	""Option: Essential: No Munisense SIM""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""-100,00""
""MSNTPRRY-NO-4G""	""MUN""	""Option: Premium: No Munisense SIM""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""-300,00""
""MSNTXXRY-NO-CAL""	""MUN""	""Option: No 2-year recertification [Only applicable to SPC]""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""-250,00""
""MSNWHSRY""	""MUN""	""Acquire weather  monitoring (windspeed, winddirection, temperature, humidity, pressure,brightness), per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Noise""	""""	""""	""""	""254,40""
""MSPP8A-BARE""	""MUN""	""Model PP8, Bare Device, for pore-pressure only, LTE-M or NB-IoT, roaming SIM, data setup in portal,  non-recurring (VG25009)""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""408,00""
""MSPP8A-D713-10L10""	""MUN""	""Model PP8, LTE-M or NB-IoT pore pressure meter with absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713 sensor; 18 mm diam.), 10 meter cable with connector, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""714,00""
""MSPT9-SOIL-IM30""	""MUN""	""Model PT9, LTE-M or NB-IoT Soilmoisture sensor, 30 cm depth, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""150,00""
""MSQU2RYCI-AL-C""	""MUN""	""Service Level for Model QU2C, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""92,16""
""MSQU2RYFS-AL-COP""	""MUN""	""Service Level for Model QU2C, per year, full-service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""tijd""	""Water""	""maintenance""	""""	""""	""1.800,00""
""MSQU7-BARE""	""MUN""	""Non-standard product: Model QU7, LTE-M or NB-IoT device with 25 cm cable and connector for either Q-HUB or sensor. roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""322,00""
""MSQU7-C-AL-C4E""	""MUN""	""Model QU7-C, LTE-M or NB-IoT device for conductivity measurements in water, AquaLabo C4E sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring (VG25010)""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""1.377,00""
""MSQU7-C-AL-CTZ""	""MUN""	""Model QU7-C, LTE-M or NB-IoT device for conductivity measurements in water, AquaLabo  CTZ (inductive) sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""1.898,00""
""MSQU7-COP-AL-3X1""	""MUN""	""Model QU7-COP, LTE-M or NB-IoT device for conductivity, oxygen and pH measurements in water, 3 separate AquaLabo sensors with 3 meter cable each, connected through Q-HUB, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""4.111,00""
""MSQU7-COPT-AL-4X1""	""MUN""	""Model QU7-COPT, LTE-M or NB-IoT device for conductivity, oxygen, pH measurements and turbidity in water, 4 separate AquaLabo sensors with 3 meter cable each, connected through Q-HUB, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""6.284,00""
""MSQU7-O-AL-OPT""	""MUN""	""Model QU7-O, LTE-M or NB-IoT device for dissolved-oxygen measurements in water, AquaLabo OPTOD sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""1.653,00""
""MSQU7-P-AL-PHO""	""MUN""	""Model QU7-P, LTE-M or NB-IoT device for pH measurements in water, AquaLabo pH-ORP sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""1.561,00""
""MSQU7RYCI-AL-C""	""MUN""	""Service Level for Model QU7C, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""92,16""
""MSQU7RYX-C-AL-C4E""	""MUN""	""Extended manufacturer warranty for MSQU7-C-AL-C4E for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""95,20""
""MSQU7RYX-C-AL-CTZ""	""MUN""	""Extended manufacturer warranty for MSQU7-C-AL-CTZ for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""133,60""
""MSQU7RYX-O-AL-OPT""	""MUN""	""Extended manufacturer warranty for MSQU7-O-AL-OPT for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""115,20""
""MSQU7RYX-P-AL-PHO""	""MUN""	""Extended manufacturer warranty for MSQU7-P-AL-PHO for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""106,40""
""MSQU7RYX-T-AL-NTU""	""MUN""	""Extended manufacturer warranty for MSQU7-T-AL-NTU for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""181,60""
""MSQU7-T-AL-NTU""	""MUN""	""Model QU7-T, LTE-M or NB-IoT device for turbidity measurements in water, AquaLabo NTU sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""2.561,00""
""MSQU8-C-AL-C4E""	""MUN""	""Model QU8-C, LTE-M or NB-IoT device for conductivity measurements in water, AquaLabo C4E sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring (VG25010)""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.350,00""
""MSQU8-C-AL-CTZ""	""MUN""	""Model QU8-C, LTE-M or NB-IoT device for conductivity measurements in water, AquaLabo  CTZ (inductive) sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.860,00""
""MSQU8-COP-AL-3X1""	""MUN""	""Model QU8-COP, LTE-M or NB-IoT device for conductivity, dissolved oxygen and pH measurements in water, 3 separate AquaLabo sensors with 3 meter cable each, connected through Q-HUB, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""4.030,00""
""MSQU8-COPT-AL-4X1""	""MUN""	""Model QU8-COPT, LTE-M or NB-IoT device for conductivity, dissolved oxygen, pH measurements and turbidity in water, 4 separate AquaLabo sensors with 3 meter cable each, connected through Q-HUB, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""6.160,00""
""MSQU8-O-AL-OPT""	""MUN""	""Model QU8-O, LTE-M or NB-IoT device for dissolved-oxygen measurements in water, AquaLabo OPTOD sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.620,00""
""MSQU8-P-AL-PHO""	""MUN""	""Model QU8-P, LTE-M or NB-IoT device for pH measurements in water, AquaLabo pH-ORP sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.530,00""
""MSQU8RYX-C-AL-C4E""	""MUN""	""Extended manufacturer warranty for MSQU8-C-AL-C4E for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""104,72""
""MSQU8RYX-C-AL-CTZ""	""MUN""	""Extended manufacturer warranty for MSQU8-C-AL-CTZ for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""146,96""
""MSQU8RYX-O-AL-OPT""	""MUN""	""Extended manufacturer warranty for MSQU8-O-AL-OPT for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""126,72""
""MSQU8RYX-P-AL-PHO""	""MUN""	""Extended manufacturer warranty for MSQU8-P-AL-PHO for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""117,04""
""MSQU8RYX-T-AL-NTU""	""MUN""	""Extended manufacturer warranty for MSQU8-T-AL-NTU for a maximum of 5 years, Munisense culpable malfunction only, based on one-off price, per year""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Water""	""""	""""	""""	""199,76""
""MSQU8-T-AL-NTU""	""MUN""	""Model QU8-T, LTE-M or NB-IoT device for turbidity measurements in water, AquaLabo NTU sensor with 3 meter cable, roaming SIM, data setup in portal, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""2.510,00""
""MSQU-AL-ODEON""	""MUN""	""Model AquaLabo Odeon, handheld device for in-situ calibration, including Munisense-Odeon cable""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""1.571,00""
""MSQU-CABLE-15M""	""MUN""	""Additional cost for 15 meter cable instead of 3 meter""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""23,00""
""MSQU-CABLE-15+M""	""MUN""	""Additional cost for cables over 15 meter (maximum total length is 20 meter), per meter""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""15,40""
""MSQU-CABLE-7M""	""MUN""	""Additional cost for 7 meter cable instead of 3 meter""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""17,00""
""MSQU-CART-PH""	""MUN""	""Cartridge for QUx-P-AL-PHO sensor for pH measurements""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""340,00""
""MSQU-Q-HUB""	""MUN""	""LET OP: dit is een universeel artikel voor alle QUx
Model Q-HUB, connects up to 4 quality sensors to a single QUx, non-recurring""	""AquaLabo""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""322,00""
""MSRT1A""	""MUN""	""Model RT1, INSIGHTNOW network router with Li-Ion battery, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""395,00""
""MSRT1RYCI""	""MUN""	""Service Level for Model RT1, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""28,98""
""MSRT1RYFS""	""MUN""	""Service Level for Model RT1, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""62,10""
""MSRT2A""	""MUN""	""Model RT2, INSIGHTNOW network router indoor with adapter, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""69,00""
""MSRT2RYCI""	""MUN""	""Service Level for Model RT2, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""4,96""
""MSRT2RYFS""	""MUN""	""Service Level for Model RT2, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""10,62""
""MS-SENSOR-FIELDTEST-W""	""MUN""	""Sensor Field Test, specifically for Pore Pressure support. Includes 3-pin straight-female connector (Phoenix Connect).""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""""	""""	""337,00""
""MSSK1A""	""MUN""	""Model SK1, monitoring station for vibration, temperature, humidity, acceleration, inclination and airpressure, 1 or 2 C batteries, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""195,00""
""MSSK1RYCI""	""MUN""	""Service Level for Model SK1, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""16,38""
""MSSK1RYFS""	""MUN""	""Service Level for Model SK1, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""35,10""
""MSSM1A-GPRS""	""MUN""	""Model SM1, Sail movement detection, Exclusive sensor, non-recurring *** EB: deze niet gebruiken? maar iets a la TR5 hiervoor aanmaken?""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""495,00""
""MSSM6A-BARE""	""MUN""	""Model SM6, NB-IoT soil moisture, SIM, portal, without sensor, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""350,00""
""MSSM6A-TEROS10""	""MUN""	""Model SM6, NB-IoT soil moisture sensor, SIM, portal, including TEROS-10, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""543,00""
""MSSP4A-UPG1""	""MUN""	""Exchange of MSSP4x+MSZGO >  to MSSP7x with LTEM and new features""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""995,00""
""MSSP4RYCI-L""	""MUN""	""Service Level for Model SP4, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""88,59""
""MSSP4RYCI-LA""	""MUN""	""Service Level for Model SP4, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""115,31""
""MSSP4RYCI-LS""	""MUN""	""Service Level for Model SP4, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""115,31""
""MSSP5A-L3D""	""MUN""	""Model SP5, noise monitoring station class 2, for dBA/dBC measurements and 3D direction detection, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""1.995,00""
""MSSP5RYCI-L3D""	""MUN""	""Service Level for Model SP5, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""167,58""
""MSSP5RYFS-L3D""	""MUN""	""Service Level for Model SP5, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""380,65""
""MSSP7A""	""MUN""	""Model SP7, noise monitoring station class 2, for dBA/dBC measurements, 1/3 octave spectrum, audiostreaming and LTE-M connectivity, IP76, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""1.595,00""
""MSSP7A-EXCH-SPx""	""MUN""	""Model SP7, discount when exchanging SP4 or SP6""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""-100,00""
""MSSP7RYCI""	""MUN""	""Service Level for Model SP7, per year, Carry In""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""140,00""
""MSSP7RYFS""	""MUN""	""Service Level for Model SP7, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""265,00""
""MSSP8A""	""MUN""	""Model SP8, indoor noise monitoring station class 2, for dBA/dBC measurements and 1/1 octave spectrum, non-recurring""	""A1 Electronics""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""695,00""
""MSSP8RYCI-L""	""MUN""	""Service Level for Model SP8, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""50,58""
""MSSPAA-UPG1""	""MUN""	""Upgrade of MSSPAx with LTEM and new features""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""795,00""
""MSSPAA-UPG2""	""MUN""	""Upgrade of MSSPAx with LTE-M and new features and certification of the meter monitoring station""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""1.045,00""
""MSSPARYCI-LSA""	""MUN""	""Service Level for Model SPA, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""336,13""
""MSSPARYFS-LSA""	""MUN""	""Service Level for Model SPA, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""679,50""
""MSSPBA-LSA""	""MUN""	""Model SPB, indoor noise monitoring station class 1, for dBA/dBC measurements, 1/3 octave spectrum and audio streaming, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""3.495,00""
""MSSPBRYCI-LSA""	""MUN""	""Service Level for Model SPB, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""209,58""
""MSSPBRYFS-LSA""	""MUN""	""Service Level for Model SPB, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""176,05""
""MSSPCA""	""MUN""	""Model SPC, outdoor noise monitoring station class 1 (PTB certified), for levels, 1/3 octave spectrum and audiostreaming. Battery capacity 6-8 days, LTE-M/CAT-M1 and ZigBee connectivity, internal storage for measurements and audio, IP76, support for external weather station, non-recurring""	""Sinus Messtechnik""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""5.225,00""
""MSSPCA-EXCH-SPA""	""MUN""	""Model SPC, discount when exchanging SPA""	""""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""-500,00""
""MSSPCA-G""	""MUN""	""Option for model SPC: adding GPS locator to the meter""	""Sinus Messtechnik""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""250,00""
""MSSPCRYCI""	""MUN""	""Service Level for Model SPC, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""Noise""	""""	""""	""""	""450,00""
""MSSPCRYFS""	""MUN""	""Service Level for Model SPC, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""Noise""	""""	""""	""""	""900,00""
""MSSPDA-WME980AN""	""MUN""	""Model SPD, noise monitoring station class 1 with WME980AN microphone for airport noise, for dBA/dBC measurements, 1/3 octave spectrum and real-time audiostreaming. Passage detection in conformance with ISO20906. Battery capacity 4-5 days, LTE-M/CAT-M1 and ZigBee connectivity, internal storage for measurements and audio, IP76, support for external (certified) weather station, non-recurring""	""Sinus Messtechnik""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""10.995,00""
""MSSPDA-WME980CN""	""MUN""	""Model SPD, noise monitoring station class 1 with WME980CN microphone for community noise, for dBA/dBC measurements, 1/3 octave spectrum and real-time audiostreaming. Detection in conformance with ISO20906. Battery capacity 4-5 days, LTE-M/CAT-M1 and ZigBee connectivity, internal storage for measurements and audio, IP76, support for external (certified) weather station, non-recurring""	""Sinus Messtechnik""	""ISNN InsightNow Network, non recurring""	""""	""Noise""	""""	""""	""""	""10.995,00""
""MSTH6A-BARE""	""MUN""	""Model TH6, NB-IoT precipitation, temp/humidity/barometer, SIM, portal, without rain sensor, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""300,00""
""MSTH7A-BARE""	""MUN""	""Model TH7, LTE-M or NB-IoT temperature/humidity/barometer, roaming SIM, data setup in portal,  non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""380,00""
""MSTH7A-DAVIS""	""MUN""	""Model TH7, LTE-M or NB-IoT precipitation, temperature/humidity/barometer, including Davis 6466-M Rain Gauge, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""560,00""
""MSTH8A-BARE""	""MUN""	""Model TH8, LTE-M or NB-IoT temperature/humidity/barometer, roaming SIM, data setup in portal,  non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""380,00""
""MSTH9A-DAVIS""	""MUN""	""Model TH9, LTE-M or NB-IoT precipitation, temperature/humidity/barometer, including Davis 6463-M Rain Gauge, roaming SIM, data setup in portal, non-recurring (VG25014)""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""600,00""
""MSTHxA-PRO1""	""MUN""	""Model THx, LTE-M or NB-IoT precipitation, temperature/humidity/barometer, including Pronamic Professional Rain Gauge 0.1 mm tip, bracket/spikes, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""643,00""
""MSTHxA-PRO2""	""MUN""	""Model THx, LTE-M or NB-IoT precipitation, temperature/humidity/barometer, including Pronamic Professional Rain Gauge 0.2 mm tip, bracket/spikes, roaming SIM, data setup in portal, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Water""	""""	""Hardware-Water""	""""	""643,00""
""MSTHxRYCI-BARE""	""MUN""	""Service Level for Model THx, without tipping bucket, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""38,47""
""MSTR2A-A335""	""MUN""	""Model TR2, radar traffic counter integrated with AGD335, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""775,00""
""MSTR2RYCI-A335""	""MUN""	""Service Level for Model TR2, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""65,10""
""MSTR2RYFS-A335""	""MUN""	""Service Level for Model TR2, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""139,50""
""MSTR3A""	""MUN""	""Model TR3, traffic detector with 2x PIR and radar, IP67, battery 2 days, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""495,00""
""MSTR3RYCI""	""MUN""	""Service Level for Model TR3, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""41,58""
""MSTR3RYFS""	""MUN""	""Service Level for Model TR3, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""89,10""
""MSTR4A-LC4""	""MUN""	""Model TR4, traffic detector with 3x PIR, RS485 modbus interface, extension to LC4, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""145,00""
""MSTR4RYCI-LC4""	""MUN""	""Service Level for Model TR4, per year, carry-in""	""""	""ISNRY-CI InsightNow Network, recurring per year""	""""	""""	""""	""""	""""	""12,18""
""MSTR4RYFS-LC4""	""MUN""	""Service Level for Model TR4, per year, full service""	""""	""ISNRY-FS InsightNow Network, recurring per year, full serv""	""""	""""	""""	""""	""""	""26,10""
""MSTR5A-LS-ONE""	""MUN""	""Model TR5, shipmovement counter on basis of one way photoelectric sensors upto 35 meter distance""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""4.500,00""
""MSTR5A-LS-REFL""	""MUN""	""Model TR5, shipmovement counter on basis of reflective photoelectric sensors upto 20 meter distance""	""""	""ISNN InsightNow Network, non recurring""	""""	""""	""""	""""	""""	""3.900,00""
