""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""VFA2504577""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""200x LV8 4L05 + 20x LV8 10L10""	""Michelle Klijn""	""14-07-2025""	""2025/07""	""67.362,00""	""81.508,02""	""81.508,02""	""0,00""
""VFA2504576""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240750 HHNK - aanbesteding""	""periodieke kosten 55x vanaf 2/7/2025""	""""	""14-07-2025""	""2025/07""	""4.857,74""	""5.877,87""	""5.877,87""	""0,00""
""VFA2504575""	""DE2200307""	""Socotec Geotechnics""	""SCA250830 SOCOTEC-Aanbesteding WRIJ-Projectnr: 24SP2864 38x""	""10x LV8 4L05-aanvulling""	""Michelle Klijn""	""11-07-2025""	""2025/07""	""6.350,50""	""7.684,11""	""7.684,11""	""0,00""
""VFA2504574""	""DE2100269""	""Geofoxx B.V.""	""SCA250872 6 x LV8 4-5""	""6 x LV8 4-5""	""Ron Wittebol""	""11-07-2025""	""2025/07""	""3.900,30""	""4.719,36""	""4.719,36""	""0,00""
""VFA2504573""	""DE1600041""	""ATKB""	""SCA240808 1 QU watermeter  zuurstofmeting""	""MSQU7-O-AL-OPT""	""Ron Wittebol""	""11-07-2025""	""2025/07""	""1.487,70""	""1.800,12""	""1.800,12""	""0,00""
""VFA2504572""	""DE1600069""	""MIP Electronics""	""SCA250860 3 x SPC + 3 x UP2 4 jaar""	""3 x SPC + 3 x UP2 + bouwdashboard-MIP finland""	""Michelle Klijn""	""16-05-2025""	""2025/05""	""18.736,22""	""18.736,22""	""18.736,22""	""0,00""
""VFA2504571""	""DE1600069""	""MIP Electronics""	""SCA250860 3 x SPC + 3 x UP2 4 jaar""	""3 x SPC + 3 x UP2 + bouwdashboard-MIP finland""	""Michelle Klijn""	""16-05-2025""	""2025/05""	""-18.947,01""	""-18.947,01""	""-18.947,01""	""0,00""
""VFA2504570""	""DE1800163""	""Aequator Groen & Ruimte bv""	""SCA240775 Aequator-Verzamelcontract,""	""periodieke kosten 01-04-2025/2026""	""""	""30-04-2025""	""2025/04""	""248,38""	""300,54""	""300,54""	""0,00""
""VFA2504569""	""DE1800163""	""Aequator Groen & Ruimte bv""	""SCA240775 Aequator-Verzamelcontract,""	""periodieke kosten 01-04-2025/2026""	""""	""30-04-2025""	""2025/04""	""-670,14""	""-810,87""	""-810,87""	""0,00""
""VFA2504568""	""DE1600069""	""MIP Electronics""	""SCA250860 3 x SPC + 3 x UP2 4 jaar""	""3 x SPC + 3 x UP2 + bouwdashboard""	""Michelle Klijn""	""30-06-2025""	""2025/07""	""779,62""	""779,62""	""779,62""	""0,00""
""VFA2504567""	""DE1800155""	""Gemeente Land van Cuijk""	""SCA180235 3x SP4 vaste meetopstellingen""	""Periodieke kosten 3 maanden""	""""	""19-05-2025""	""2025/05""	""576,15""	""697,14""	""697,14""	""0,00""
""VFA2504566""	""DE1800155""	""Gemeente Land van Cuijk""	""SCA180235 3x SP4 vaste meetopstellingen""	""Periodieke kosten""	""""	""19-05-2025""	""2025/05""	""-2.285,87""	""-2.765,90""	""-2.765,90""	""0,00""
""VFA2504565""	""DE1600068""	""AKRON""	""SCA230666 D2S INTERNATIONAL-1x SPC+UP2""	""periodieke kosten 2025""	""""	""30-06-2025""	""2025/06""	""-310,08""	""-310,08""	""-310,08""	""0,00""
""VFA2504564""	""DE1600068""	""AKRON""	""SCA190360 ARCELORMITTAL GENT 3xNP2 (Schrootpark + Phoenix)""	""msnp2f70039""	""George Boersma""	""14-07-2025""	""2025/07""	""-397,50""	""-480,98""	""-480,98""	""0,00""
""VFA2504563""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA200440 Aanbesteding Zuid Holland-Lease-IBL77940.01""	""factuurjaar 6, termijn 1 (18 feb 2025 - 17 jun 2025)""	""Hans Mulder""	""04-07-2025""	""2025/07""	""22.550,84""	""27.286,52""	""27.286,52""	""0,00""
""VFA2504562""	""DE1600068""	""AKRON""	""""	""Acelor Mittal Gent div. windbollen""	""Ellen Brackel""	""04-07-2025""	""2025/07""	""591,60""	""591,60""	""591,60""	""0,00""
""VFA2504561""	""DE2200307""	""Socotec Geotechnics""	""SCA230728 SOCOTEC-Verzamelcontract""	""45x LV8 diverse kabellengtes + 3x PP8 10L10""	""Michelle Klijn""	""04-07-2025""	""2025/07""	""12.124,05""	""14.670,10""	""14.670,10""	""0,00""
""VFA2504560""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240751 Kanaal Almelo - de Haandrik""	""76x LV8 diverse kabellengtes""	""Michelle Klijn""	""04-07-2025""	""2025/07""	""25.381,70""	""30.711,86""	""30.711,86""	""0,00""
""VFA2504559""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""portalkosten juni""	""Hans Mulder""	""30-06-2025""	""2025/07""	""46.421,85""	""56.170,44""	""56.170,44""	""0,00""
""VFA2504558""	""DE1800185""	""Omgevingsdienst Veluwe""	""""	""Uitzethaak 30cm""	""Ron Wittebol""	""01-07-2025""	""2025/07""	""164,00""	""198,44""	""198,44""	""0,00""
""VFA2504557""	""DE2200298""	""RUD Zeeland""	""""	""4 x Windbol en 2 x achterplaat""	""Ron Wittebol""	""01-07-2025""	""2025/07""	""288,00""	""348,48""	""348,48""	""0,00""
""VFA2504556""	""G0014""	""Gemeente Amsterdam""	""SCA240799 Herplaatsen LED-schermen""	""Voortzetting luide voertuigen Amsterdam""	""George Boersma""	""30-06-2025""	""2025/06""	""33.821,00""	""40.923,41""	""40.923,41""	""0,00""
""VFA2504555""	""G0036""	""Omgevingsdienst Drenthe""	""SCA160051 OGD Drenthe""	""credit retour apparatuur""	""Omar Jarmohamed""	""30-06-2025""	""2025/06""	""-350,00""	""-423,50""	""-423,50""	""0,00""
""VFA2504554""	""DE1600068""	""AKRON""	""SCA240804 Aanbesteding Gent/Leuven NP9+GD1""	""Q1+Q2 periodieke kosten achteraf 30-06""	""Mirjam Stevens""	""30-06-2025""	""2025/06""	""33.256,07""	""33.256,07""	""33.256,07""	""0,00""
""VFA2504553""	""DE1800186""	""RUD Utrecht""	""""	""Huur NP2 voor 2 weken project Soesdijk""	""Ron Wittebol""	""30-06-2025""	""2025/06""	""550,00""	""665,50""	""665,50""	""0,00""
""VFA2504552""	""A0012""	""Omgevingsdienst Flevoland & Gooi en Vechtstreek""	""""	""Huur 3x SPC voor Defqon 2025""	""Ron Wittebol""	""30-06-2025""	""2025/06""	""3.391,50""	""4.103,71""	""4.103,71""	""0,00""
""VFA2504551""	""G0031""	""Gemeente Heerlen""	""""	""Accu voor SPC en Zonnepaneel""	""Ron Wittebol""	""30-06-2025""	""2025/06""	""960,00""	""1.161,60""	""1.161,60""	""0,00""
""VFA2504550""	""DE2200301""	""Fides Expertise BV""	""SCA240766 Fides-Verzamelcontract""	""10 x LV8 4-5""	""Ron Wittebol""	""30-06-2025""	""2025/06""	""7.081,80""	""8.568,98""	""8.568,98""	""0,00""
""VFA2504549""	""DE2200307""	""Socotec Geotechnics""	""SCA250867 HDSR - 25SP0966 - Lease""	""HDSR-lease aanvulling 18 x LV8 4-5""	""Ron Wittebol""	""30-06-2025""	""2025/06""	""2.700,00""	""3.267,00""	""3.267,00""	""0,00""
""VFA2504548""	""DE1600068""	""AKRON""	""SCA210460 AKRON GENT 10x SPC""	""Periodieke kosten Q2-2025 achteraf 30-06""	""George Boersma""	""30-06-2025""	""2025/06""	""1.237,50""	""1.237,50""	""1.237,50""	""0,00""
""VFA2504547""	""DE1600068""	""AKRON""	""SCA230666 D2S INTERNATIONAL-1x SPC+UP2""	""periodieke kosten 2025""	""""	""30-06-2025""	""2025/06""	""599,49""	""599,49""	""599,49""	""0,00""
""VFA2504546""	""DE2500400""	""Vilma bv Alegria""	""SCA250871 1x Horecasense  Leuven + tablet weborder 272""	""fctuur bovenste niveau voor klant""	""Michelle Klijn""	""30-06-2025""	""2025/06""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504546""	""DE2500400""	""Vilma bv Alegria""	""SCA250871 1x Horecasense  Leuven + tablet weborder 272""	""factuur boekhouding onderse niveau""	""Michelle Klijn""	""30-06-2025""	""2025/06""	""898,00""	""898,00""	""898,00""	""0,00""
""VFA2504545""	""DE2500382""	""ABO Geosonda""	""SCA250870 2 x LV8 4-5 | Project ZuiderC Lelystad""	""2 x LV8 4-5 | Project ZuiderC Lelystad""	""Ron Wittebol""	""30-06-2025""	""2025/06""	""1.490,00""	""1.802,90""	""1.802,90""	""0,00""
""VFA2504544""	""A0018""	""Omgevingsdienst Zuidoost Brabant""	""""	""2 x hercertificeren Klasse 1 meters""	""Ron Wittebol""	""30-06-2025""	""2025/06""	""675,00""	""816,75""	""816,75""	""0,00""
""VFA2504543""	""DE1800176""	""Sweco Nederland B.V.""	""SCA240756 SWECO-NL Verzamelcontract- (p.kw.)""	""10x LV8 diverse kabellengtes (NTL 5x)""	""Michelle Klijn""	""30-06-2025""	""2025/06""	""735,70""	""890,20""	""890,20""	""0,00""
""VFA2504542""	""DE1600068""	""AKRON""	""SCA180224 D2S Internationaal -2xSPA-1xPSC""	""periodieke kosten 2025""	""Mirjam Stevens""	""30-06-2025""	""2025/06""	""902,57""	""902,57""	""902,57""	""0,00""
""VFA2504541""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA240825 78761-project GWM Gelderland deel 1""	""periodieke kosten Q2-2025""	""""	""30-06-2025""	""2025/06""	""12.602,90""	""15.249,51""	""15.249,51""	""0,00""
""VFA2504540""	""G0032""	""Gemeente Amersfoort""	""SCA170126 Horecasense Kit - 7220575 / 4697""	""Periodieke kosten 2025""	""George Boersma""	""30-06-2025""	""2025/06""	""-214,66""	""-259,74""	""-259,74""	""0,00""
""VFA2504539""	""DE2200296""	""Gemeente Nijmegen""	""SCA240782 1 x NP4- Full-Service""	""periodieke kosten 1 x NP4""	""""	""01-07-2025""	""2025/06""	""1.913,11""	""2.314,86""	""2.314,86""	""0,00""
""VFA2504538""	""G0000""	""Gemeente Eindhoven""	""""	""Verplaatsen meters""	""Ron Wittebol""	""13-06-2025""	""2025/06""	""395,00""	""477,95""	""477,95""	""0,00""
""VFA2504537""	""DE1900202""	""Gemeente Vijfheerenlanden""	""SCA230698 121x LV8 Lease 3 jaar 2024-2026 (p.kwartaal)""	""Aanbesteding grondwater meetnet vijfheerenlanden 4x lease""	""Hans Mulder""	""13-06-2025""	""2025/06""	""477,52""	""577,80""	""577,80""	""0,00""
""VFA2504536""	""DE1600068""	""AKRON""	""""	""4x TPWS1""	""Michelle Klijn""	""13-06-2025""	""2025/06""	""164,64""	""164,64""	""164,64""	""0,00""
""VFA2504535""	""DE2000247""	""Deltares""	""""	""Losse sensor en 2 batterijen LV5""	""Ron Wittebol""	""13-06-2025""	""2025/06""	""303,00""	""366,63""	""366,63""	""0,00""
""VFA2504534""	""DE1600068""	""AKRON""	""SCA190360 ARCELORMITTAL GENT 3xNP2 (Schrootpark + Phoenix)""	""msnp2f70039""	""George Boersma""	""12-06-2025""	""2025/06""	""397,50""	""480,98""	""480,98""	""0,00""
""VFA2504533""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA220603 Gouda project netwerken-Lease (IBL78422) p.kwartaa""	""4x LV8 4L05 Project Gouda""	""Michelle Klijn""	""12-06-2025""	""2025/06""	""28,48""	""34,46""	""34,46""	""0,00""
""VFA2504532""	""DE1600008""	""Gemeente Ede""	""SCA250834 2 x NP2-Gemeente Ede""	""2 x NP2""	""Ron Wittebol""	""12-06-2025""	""2025/06""	""7.154,00""	""8.656,34""	""8.656,34""	""0,00""
""VFA2504531""	""O0012""	""Munisense BV""	""SCA250868 LaatJeHoren-GEMEENTE AMSTERDAM""	""LaatJeHoren""	""George Boersma""	""12-06-2025""	""2025/06""	""9.545,00""	""11.549,45""	""11.549,45""	""0,00""
""VFA2504530""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA250869 Aanbesteding Papendrecht 62x""	""Aanbesteding Papendrecht""	""Michelle Klijn""	""12-06-2025""	""2025/06""	""10.540,00""	""12.753,40""	""12.753,40""	""0,00""
""VFA2504529""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240762 Wiertsema_Verzamelcontract (p.kw.)""	""4x LV8 4L05""	""Michelle Klijn""	""12-06-2025""	""2025/06""	""2.267,07""	""2.743,15""	""2.743,15""	""0,00""
""VFA2504528""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240762 Wiertsema_Verzamelcontract (p.kw.)""	""Q2-periodieke kosten  2025""	""""	""12-06-2025""	""2025/06""	""14.272,42""	""17.269,63""	""17.269,63""	""0,00""
""VFA2504527""	""A0008""	""LBP Sight""	""SCA220587 2x NP2 - 220149""	""periodieke kosten 2025""	""""	""10-06-2025""	""2025/06""	""4.226,09""	""5.113,57""	""5.113,57""	""0,00""
""VFA2504526""	""DE2100269""	""Geofoxx B.V.""	""SCA240780 Geofoxx-Verzamelcontract-NIETS MEER TOEVOEGEN!""	""periodieke kosten 2025""	""Irene Barten""	""10-06-2025""	""2025/06""	""3.586,02""	""4.339,08""	""4.339,08""	""0,00""
""VFA2504525""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA190332 59x LV5 Grondwatermeetnet Papendrecht""	""periodieke kosten 1/4/25-1/7/25""	""""	""10-06-2025""	""2025/06""	""1.053,15""	""1.274,31""	""1.274,31""	""0,00""
""VFA2504524""	""DE2000239""	""RSK Group""	""SCA240757 RSK_Verzamelcontract""	""1 x LV8 10-10""	""Ron Wittebol""	""10-06-2025""	""2025/06""	""659,25""	""797,69""	""797,69""	""0,00""
""VFA2504523""	""DE2000252""	""Sweco Belgium BV""	""SCA240764 Sweco-Belgie_Verzamelcontract (p.kw.)""	""Periodieke kosten Q2-2025""	""""	""06-06-2025""	""2025/06""	""7.965,61""	""7.965,61""	""7.965,61""	""0,00""
""VFA2504522""	""DE2200298""	""RUD Zeeland""	""SCA220589 2x SPC & 1x SP7""	""Periodieke kosten 2025""	""""	""06-06-2025""	""2025/06""	""3.947,54""	""4.776,52""	""4.776,52""	""0,00""
""VFA2504521""	""A0014""	""Residence de Karpen""	""SCA160003 Residence de Karpen, geluid""	""Periodieke kosten 2025""	""Hans Mulder""	""06-06-2025""	""2025/06""	""1.233,13""	""1.492,09""	""1.492,09""	""0,00""
""VFA2504520""	""A0010""	""Peutz""	""SCA240789 4 x SP7- E1044""	""Periodieke kosten 2025""	""""	""06-06-2025""	""2025/06""	""1.863,76""	""2.255,15""	""2.255,15""	""0,00""
""VFA2504519""	""DE1600038""	""Omgevingsdienst Noordzeekanaalgebied (NZKG)""	""SCA210493 1xSPC- 01949""	""Periodieke kosten 2025""	""Mirjam Stevens""	""06-06-2025""	""2025/06""	""2.070,17""	""2.504,91""	""2.504,91""	""0,00""
""VFA2504518""	""DE1800169""	""n4o bv""	""SCA180253 4x SPA klasse 1 meetsets""	""Periodieke kosten 2025""	""Irene Barten""	""06-06-2025""	""2025/06""	""2.996,07""	""3.625,24""	""3.625,24""	""0,00""
""VFA2504517""	""DE2400357""	""Megaborn""	""SCA240785 2x LV8- Megaborn""	""Periodieke kosten  2025""	""""	""06-06-2025""	""2025/06""	""223,38""	""270,29""	""270,29""	""0,00""
""VFA2504516""	""DE1800176""	""Sweco Nederland B.V.""	""SCA240756 SWECO-NL Verzamelcontract- (p.kw.)""	""10x LV8 diverse kabellengtes""	""Michelle Klijn""	""06-06-2025""	""2025/06""	""2.897,65""	""3.506,16""	""3.506,16""	""0,00""
""VFA2504515""	""DE2400361""	""Jantril Monitoring BV""	""SCA240793 4 x LV8""	""periodieke kosten 2025""	""""	""05-06-2025""	""2025/06""	""446,76""	""540,58""	""540,58""	""0,00""
""VFA2504514""	""G0005""	""Gemeente Utrecht""	""SCA170102 Gemeente Utrecht, geluid""	""Periodieke kosten 8x SPA""	""Sander den Houdijker""	""05-06-2025""	""2025/06""	""12.171,69""	""14.727,74""	""14.727,74""	""0,00""
""VFA2504513""	""DE1600006""	""Gemeente Hengelo""	""SCA210483 2x SP7""	""periodieke kosten 2025""	""Mirjam Stevens""	""05-06-2025""	""2025/06""	""2.671,84""	""3.232,93""	""3.232,93""	""0,00""
""VFA2504512""	""G0032""	""Gemeente Amersfoort""	""SCA170126 Horecasense Kit - 7220575 / 4697""	""Periodieke kosten 2025""	""George Boersma""	""05-06-2025""	""2025/06""	""214,66""	""259,74""	""259,74""	""0,00""
""VFA2504511""	""A0009""	""DMM Consultancy BV""	""SCA230679 SPC- Middelburg met City of Dance""	""periodieke kosten 2025""	""""	""05-06-2025""	""2025/06""	""930,24""	""1.125,59""	""1.125,59""	""0,00""
""VFA2504510""	""DE1600068""	""AKRON""	""SCA240779 1x SPC-ACOUSTICAL ENGINEERING""	""periodieke kosten""	""""	""05-06-2025""	""2025/06""	""853,45""	""853,45""	""853,45""	""0,00""
""VFA2504509""	""DE2300329""	""Camping Buitenland""	""SCA230668 1x SP7 - Geluidmeten voor podium""	""Periodieke kosten 1x SP7 voor monitoring muziek""	""Ron Wittebol""	""03-06-2025""	""2025/06""	""471,32""	""570,30""	""570,30""	""0,00""
""VFA2504508""	""DE2200307""	""Socotec Geotechnics""	""SCA250867 HDSR - 25SP0966 - Lease""	""HDSR-lease 178x div LV8 crediteren.""	""Michelle Klijn""	""03-06-2025""	""2025/06""	""20.481,60""	""24.782,74""	""24.782,74""	""0,00""
""VFA2504507""	""A0000""	""Aveco de Bondt B.V.""	""""	""190x LVR""	""Michelle Klijn""	""03-06-2025""	""2025/06""	""29.070,00""	""35.174,70""	""35.174,70""	""0,00""
""VFA2504506""	""DE2400358""	""Sonora S.r.l.""	""SCA240786 1 x SPC + 1 x Weerstation + CAS4""	""1 x SPC + 1 x Weerstation + CAS4 periodieke kosten""	""""	""02-06-2025""	""2025/06""	""1.126,32""	""1.126,32""	""1.126,32""	""0,00""
""VFA2504505""	""DE2200307""	""Socotec Geotechnics""	""SCA240791 43x LV8 lease -24SP1496""	""39x+4x LV8 4L05 lease 3 jaar""	""Irene Barten""	""02-06-2025""	""2025/06""	""8.628,48""	""10.440,46""	""10.440,46""	""0,00""
""VFA2504504""	""DE2200307""	""Socotec Geotechnics""	""SCA240767 79x LV8- Lease Katwijkerlaan""	""periodieke kosten 2e jaar""	""Irene Barten""	""02-06-2025""	""2025/06""	""15.559,05""	""18.826,45""	""18.826,45""	""0,00""
""VFA2504503""	""DE2300343""	""LTO Noord""	""SCA230681 16x LV8 + 3x QU8""	""Periodieke kosten tot 1-1-2026""	""""	""02-06-2025""	""2025/06""	""1.160,46""	""1.404,16""	""1.404,16""	""0,00""
""VFA2504502""	""DE2400360""	""Buro Hoogstraat B.V.""	""SCA240792 BuroHoogstraat-Verzamelcontract""	""periodieke kosten tot 18-6-2026""	""""	""02-06-2025""	""2025/06""	""3.853,31""	""4.662,51""	""4.662,51""	""0,00""
""VFA2504501""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""portal mei""	""Hans Mulder""	""06-06-2025""	""2025/06""	""46.148,31""	""55.839,46""	""55.839,46""	""0,00""
""VFA2504500""	""DE1800176""	""Sweco Nederland B.V.""	""SCA240756 SWECO-NL Verzamelcontract- (p.kw.)""	""Periodieke kosten 2e kwartaal 2025""	""""	""30-05-2025""	""2025/05""	""10.527,10""	""12.737,79""	""12.737,79""	""0,00""
""VFA2504499""	""DE2100262""	""Waterschap Hollandse Delta""	""SCA240770 WS Hollandse Delta-Verzamelcontract""	""Koop 2 EGV-meters het Zuiderdiep ter hoogte van Stellendam""	""Ron Wittebol""	""30-05-2025""	""2025/05""	""5.716,00""	""6.916,36""	""6.916,36""	""0,00""
""VFA2504498""	""DE2200307""	""Socotec Geotechnics""	""SCA230728 SOCOTEC-Verzamelcontract""	""11x LV8 4L05""	""Michelle Klijn""	""30-05-2025""	""2025/05""	""6.985,55""	""8.452,52""	""8.452,52""	""0,00""
""VFA2504497""	""DE1600010""	""Gemeente Roermond""	""""	""Hercertificeren""	""Ron Wittebol""	""30-05-2025""	""2025/05""	""535,00""	""647,35""	""647,35""	""0,00""
""VFA2504496""	""DE1600006""	""Gemeente Hengelo""	""SCA250831 4 x geluidduider""	""4 x geluidduider""	""Ron Wittebol""	""30-05-2025""	""2025/05""	""12.538,65""	""15.171,77""	""15.171,77""	""0,00""
""VFA2504495""	""DE2000251""	""THV RoTS""	""SCA240753 THV-RoTSverzamelSCA (p.kw.)""	""Periodieke kosten 2e kwartaal 2025""	""""	""30-05-2025""	""2025/05""	""6.510,46""	""6.510,46""	""6.510,46""	""0,00""
""VFA2504494""	""DE2100282""	""Ortageo""	""SCA230664 Ortageo-Verzamelcontract""	""Periodieke kosten  3x heracitveren""	""Irene Barten""	""27-05-2025""	""2025/05""	""370,83""	""448,70""	""448,70""	""0,00""
""VFA2504493""	""DE2200311""	""Urban Lighting Innovations GMbH""	""SCA240787 1x NP2""	""periodieke kosten 2025""	""""	""23-05-2025""	""2025/05""	""841,64""	""841,64""	""841,64""	""0,00""
""VFA2504492""	""O0009""	""Sinus Messtechnik""	""SCA190340 Portal-Sinus B-1190591.3431""	""periodieke kosten 2025""	""Mirjam Stevens""	""23-05-2025""	""2025/05""	""841,35""	""841,35""	""841,35""	""0,00""
""VFA2504491""	""DE1800157""	""Reykjavik Public Health Authority""	""SCA180239 monitoring bouwlawaai + horecasense""	""periodieke kosten 2025""	""""	""23-05-2025""	""2025/05""	""1.815,98""	""1.815,98""	""1.815,98""	""0,00""
""VFA2504490""	""DE1800170""	""Provincie Groningen""	""SCA190357 1x SP7 Eemsdelta -geluidsmonitoring""	""periodieke kosten 2025""	""""	""23-05-2025""	""2025/05""	""1.087,11""	""1.315,40""	""1.315,40""	""0,00""
""VFA2504489""	""DE2300328""	""Openlucht Theater De Goffert Doornroosje""	""SCA230665 1x SP7 -Openlucht theater""	""periodieke kosten 2025""	""Irene Barten""	""23-05-2025""	""2025/05""	""930,51""	""1.125,92""	""1.125,92""	""0,00""
""VFA2504488""	""A0018""	""Omgevingsdienst Zuidoost Brabant""	""SCA230660 2x SPC-Z-2023-001314/D-2023-011875""	""periodieke kosten 2025""	""""	""23-05-2025""	""2025/05""	""2.701,14""	""3.268,38""	""3.268,38""	""0,00""
""VFA2504487""	""DE1900203""	""FUMO De Fryske Utfieringstsjinst Miljeu en Omjouwing""	""SCA230663 3x SPC & 3x NP4""	""Periodieke kosten geluidmeters - Oeral""	""""	""23-05-2025""	""2025/05""	""7.463,95""	""9.031,38""	""9.031,38""	""0,00""
""VFA2504486""	""DE2300336""	""WSP Nederland B.V""	""SCA230695 WSP_Verzamelcontract""	""2x LV8 10L10""	""Michelle Klijn""	""23-05-2025""	""2025/05""	""1.385,18""	""1.676,07""	""1.676,07""	""0,00""
""VFA2504485""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA240762 Wiertsema_Verzamelcontract (p.kw.)""	""55x LV8 10L10""	""Michelle Klijn""	""23-05-2025""	""2025/05""	""17.868,00""	""21.620,28""	""21.620,28""	""0,00""
""VFA2504484""	""DE2200307""	""Socotec Geotechnics""	""SCA240791 43x LV8 lease -24SP1496""	""4x LV8 4L05 lease 3 jaar""	""Michelle Klijn""	""23-05-2025""	""2025/05""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504483""	""DE1800176""	""Sweco Nederland B.V.""	""""	""30x Batterijen LV5""	""Michelle Klijn""	""23-05-2025""	""2025/05""	""630,00""	""762,30""	""762,30""	""0,00""
""VFA2504482""	""DE1800176""	""Sweco Nederland B.V.""	""SCA240756 SWECO-NL Verzamelcontract- (p.kw.)""	""7x LV8 4L05""	""Michelle Klijn""	""23-05-2025""	""2025/05""	""3.766,35""	""4.557,28""	""4.557,28""	""0,00""
""VFA2504481""	""DE1600038""	""Omgevingsdienst Noordzeekanaalgebied (NZKG)""	""""	""huur 4x SPC+5x GD1-netwerk Damen""	""George Boersma""	""23-05-2025""	""2025/05""	""14.436,50""	""17.468,17""	""17.468,17""	""0,00""
""VFA2504480""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA220603 Gouda project netwerken-Lease (IBL78422) p.kwartaa""	""4x LV8 4L05 Project Gouda""	""Michelle Klijn""	""23-05-2025""	""2025/05""	""64,84""	""78,46""	""78,46""	""0,00""
""VFA2504479""	""DE2100282""	""Ortageo""	""SCA230664 Ortageo-Verzamelcontract""	""Periodieke kosten""	""Irene Barten""	""22-05-2025""	""2025/05""	""7.737,47""	""9.362,34""	""9.362,34""	""0,00""
""VFA2504478""	""G0036""	""Omgevingsdienst Drenthe""	""SCA160051 OGD Drenthe""	""Periodieke kosten""	""Omar Jarmohamed""	""01-04-2025""	""2025/04""	""1.602,20""	""1.938,66""	""1.938,66""	""0,00""
""VFA2504477""	""G0036""	""Omgevingsdienst Drenthe""	""SCA160051 OGD Drenthe""	""Periodieke kosten""	""Omar Jarmohamed""	""01-04-2025""	""2025/05""	""704,70""	""852,69""	""852,69""	""0,00""
""VFA2504476""	""G0036""	""Omgevingsdienst Drenthe""	""SCA160051 OGD Drenthe""	""Periodieke kosten""	""Omar Jarmohamed""	""01-04-2025""	""2025/05""	""-992,10""	""-1.200,44""	""-1.200,44""	""0,00""
""VFA2504475""	""DE2100262""	""Waterschap Hollandse Delta""	""SCA240770 WS Hollandse Delta-Verzamelcontract""	""Periodieke kosten credit 1x QU8 periode 1-4-2025-15-03-2026""	""""	""31-03-2025""	""2025/03""	""-752,49""	""-910,51""	""-910,51""	""0,00""
""VFA2504474""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA220625 90x LV8 onderhandse aanbesteding West Betuwe (p.kw)""	""Periodieke kosten correctie 3 nodes aug'24-jun'25""	""""	""22-05-2025""	""2025/05""	""391,17""	""473,32""	""473,32""	""0,00""
""VFA2504473""	""DE2100284""	""Provincie Noord-Holland""	""""	""Pilot Smiley N525-deelfactuur 6600.-""	""George Boersma""	""22-05-2025""	""2025/05""	""6.600,00""	""7.986,00""	""7.986,00""	""0,00""
""VFA2504472""	""DE2100284""	""Provincie Noord-Holland""	""""	""Pilot Smiley N525-restant 12.150.-""	""George Boersma""	""02-05-2025""	""2025/05""	""-12.150,00""	""-14.701,50""	""-14.701,50""	""0,00""
""VFA2504471""	""DE2200292""	""IDDS""	""SCA240763 IDDS_Verzamelservicecontract""	""periodieke kosten verzamelcontract""	""Irene Barten""	""20-05-2025""	""2025/05""	""4.139,10""	""5.008,31""	""5.008,31""	""0,00""
""VFA2504470""	""DE2100275""	""Aeres Milieu""	""SCA230670 Aeres-Verzamelcontract""	""Periodieke kosten 26xLV""	""Irene Barten""	""20-05-2025""	""2025/05""	""2.862,34""	""3.463,43""	""3.463,43""	""0,00""
""VFA2504469""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""200x LV8 4L05 Vallei en Veluwe""	""Jorgen Truijers""	""20-05-2025""	""2025/05""	""33.681,00""	""40.754,01""	""40.754,01""	""0,00""
""VFA2504468""	""DE2300336""	""WSP Nederland B.V""	""SCA230695 WSP_Verzamelcontract""	""2x LV8 10L10""	""Michelle Klijn""	""20-05-2025""	""2025/05""	""1.387,00""	""1.678,27""	""1.678,27""	""0,00""
