""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""VFA2101903""	""DE1900193""	""Ingenieurs Bureau Land""	""SCA210521 3x LV5-Project Schindel-IBL78201.02""	""""	""Irene Barten""	""27-09-2021""	""2021/09""	""1.395,36""	""1.688,39""	""1.688,39""	""0,00""
""VFA2101902""	""DE1600068""	""AKRON""	""SCA200427 DP WORLD LIEGE 1xSPA""	""""	""""	""22-09-2021""	""2021/09""	""675,00""	""675,00""	""675,00""	""0,00""
""VFA2101901""	""DE1600068""	""AKRON""	""SCA210490 Lantis / BAM NV (AKRON)""	""""	""George Boersma""	""22-09-2021""	""2021/09""	""5.448,75""	""5.448,75""	""5.448,75""	""0,00""
""VFA2101900""	""DE1800176""	""Sweco Nederland B.V.""	""SCA200431 2xLV5 project Museumkwartier Vlaardingen""	""project Museumkwartier Vlaardingen""	""""	""23-09-2021""	""2021/09""	""495,60""	""599,68""	""599,68""	""0,00""
""VFA2101899""	""DE1700124""	""Stichting Peuterspeelzaalwerk Heerlen""	""SCA170136 Peuterspeelzalen Heerlen, 25 locaties""	""""	""Mirjam Stevens""	""21-09-2021""	""2021/09""	""79,63""	""96,35""	""96,35""	""0,00""
""VFA2101898""	""B0009""	""P.J. Leegwater BV""	""SCA180277 Koelkastsensoren + installatie""	""""	""""	""21-09-2021""	""2021/09""	""40,85""	""49,43""	""49,43""	""0,00""
""VFA2101897""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA190367 71x  LV5's; Project Groningen -AVECO-PORTAL""	""""	""""	""21-09-2021""	""2021/09""	""2.520,00""	""3.049,20""	""3.049,20""	""0,00""
""VFA2101896""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA200429 2xLV6 portal -AVECO""	""""	""""	""21-09-2021""	""2021/09""	""316,80""	""383,33""	""383,33""	""0,00""
""VFA2101895""	""DE1900232""	""Nedmag B.V.""	""SCA200411 Nedmag aanschaf 1xNP4""	""""	""Irene Barten""	""21-09-2021""	""2021/09""	""1.019,78""	""1.233,93""	""1.233,93""	""0,00""
""VFA2101894""	""DE2000242""	""Rizzani De Eccher""	""SCA200420 2x SPA""	""""	""""	""20-09-2021""	""2021/09""	""3.749,20""	""4.536,53""	""4.536,53""	""0,00""
""VFA2101893""	""DE1800159""	""BOOT organiserend ingenieursburo B.V. VERVALLEN (dubbele debiteur) (niet meer gebruiken; DE1800152 gebruiken)""	""SCA200428 2xLV5""	""""	""""	""20-09-2021""	""2021/09""	""256,80""	""310,73""	""310,73""	""0,00""
""VFA2101892""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""SCA200424 25xLV5 Brabantse Delta""	""Aanbesteding waterschap brabantse delta.""	""""	""20-09-2021""	""2021/09""	""3.710,40""	""4.489,58""	""4.489,58""	""0,00""
""VFA2101891""	""DE1600010""	""Gemeente Roermond""	""SCA210516 Correlatie functionaliteit""	""""	""Irene Barten""	""20-09-2021""	""2021/09""	""400,00""	""484,00""	""484,00""	""0,00""
""VFA2101890""	""A0009""	""DMM Consultancy BV""	""SCA210503 1xSPC""	""""	""Irene Barten""	""20-09-2021""	""2021/09""	""7.182,30""	""8.690,58""	""8.690,58""	""0,00""
""VFA2101889""	""DE2000252""	""Sweco Belgium BV""	""SCA210515 2xLV5- 4009380189""	""""	""Irene Barten""	""20-09-2021""	""2021/09""	""1.295,38""	""1.295,38""	""1.295,38""	""0,00""
""VFA2101888""	""DE2100271""	""Inetum""	""SCA210499 7xNP2 VERHUUR tm 31.12.2022""	""""	""George Boersma""	""20-09-2021""	""2021/09""	""35.123,50""	""35.123,50""	""35.123,50""	""0,00""
""VFA2101887""	""DE2100279""	""BVBA Sakana""	""""	""""	""""	""15-09-2021""	""2021/09""	""895,00""	""895,00""	""895,00""	""0,00""
""VFA2101886""	""H0006""	""Mingjan bvba""	""""	""""	""Irene Barten""	""15-09-2021""	""2021/09""	""895,00""	""895,00""	""895,00""	""0,00""
""VFA2101885""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""""	""Hans Mulder""	""14-09-2021""	""2021/09""	""36.654,23""	""44.351,62""	""44.351,62""	""0,00""
""VFA2101884""	""DE1900219""	""Wiertsema & Partners Raadgevend Ingenieurs""	""""	""""	""Irene Barten""	""14-09-2021""	""2021/09""	""200,00""	""242,00""	""242,00""	""0,00""
""VFA2101883""	""DE1800176""	""Sweco Nederland B.V.""	""SCA210509 3xLV5""	""""	""Irene Barten""	""14-09-2021""	""2021/09""	""1.942,86""	""2.350,86""	""2.350,86""	""0,00""
""VFA2101882""	""DE2100278""	""Heijmans Infra BV""	""SCA190318 Zuid As""	""""	""""	""13-09-2021""	""2021/09""	""1.569,97""	""1.899,66""	""1.899,66""	""0,00""
""VFA2101881""	""DE1900201""	""ZuidPlus VOF""	""SCA190318 Zuid As""	""""	""""	""13-09-2021""	""2021/09""	""-1.569,97""	""-1.899,66""	""-1.899,66""	""0,00""
