""Volgnr.""	""Icon (on)vergrendeld""	""Crediteur""	""Project""	""Bron verkoop""	""Icon product""	""Lev. bestelcode (SKU)""	""Productomschrijving""	""Aantal""	""Prijs net. ink. (p.e.)""	""Tot. ink. ex. BTW (CC)""
""IOA2300184""	""""	""Zirkzee BV""	""""	""""	""""	""Hoek profiel 20*20*2  lengte 615mm""	""Artikelnummer:10241-20202 Alu. hoek profiel 20*20*2""	""22,0""	""2,05""	""45,14""
""IOA2300183""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""1,0""	""157,31""	""157,31""
""IOA2300183""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""24,0""	""143,30""	""3.439,20""
""IOA2300183""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""100,0""	""129,80""	""12.980,00""
""IOA2300182""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""EK""	""Eenmalige kosten""	""1,0""	""881,00""	""881,00""
""IOA2300182""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""A230718""	""Watermeter PCBA - type 3V1_rev3B""	""490,0""	""41,29""	""20.232,10""
""IOA2300182""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""A230718""	""Watermeter PCBA - type 3V1_rev3B""	""500,0""	""41,29""	""20.645,00""
""IOA2300182""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""A230718""	""Watermeter PCBA - type 3V1_rev3B serie ter goedkeur""	""10,0""	""41,29""	""412,90""
""IOA2300181""	""""	""GOBA""	""""	""""	""""	""Aanpassen behuizingen handmeter""	""Aanpassen behuizingen handmeter""	""1,0""	""444,24""	""444,24""
""IOA2300180""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""65,0""	""129,80""	""8.437,00""
""IOA2300180""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""60,0""	""143,30""	""8.598,00""
""IOA2300179""	""""	""SONOR Kalibratie B.V.""	""SCA180291 Permanente geluidsmetingen""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2300178""	""""	""Texim""	""""	""""	""""	""TPLV-SIM7080G LTE""	""SIM7080G-B15-(S2-108HB-Z31PW)-SMM""	""1.000,0""	""10,33""	""10.330,00""
""IOA2300177""	""""	""CoreIoT""	""""	""""	""""	""TPXN""	""shipping charges""	""1,0""	""65,00""	""65,00""
""IOA2300177""	""""	""CoreIoT""	""""	""""	""""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""1.000,0""	""1,50""	""1.500,00""
""IOA2300176""	""""	""Digi-Key""	""""	""""	""""	""336-MGM12P22F1024GA-V4RTR-ND""	""802,15,4, Bluetooth Bluetooth v5,0, Thread, Zigbee® RF-transceivermodulen 2,4GHz Geïntegreerd, chip Opbouwmontage""	""1.000,0""	""20,15""	""20.147,55""
""IOA2300175""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2300174""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2300174""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""1.000,0""	""1,40""	""1.260,00""
""IOA2300174""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""800,0""	""5,80""	""4.176,00""
""IOA2300174""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""980,00""	""882,00""
""IOA2300173""	""""	""SONOR Kalibratie B.V.""	""SCA200451 SPC""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2300172""	""""	""GOBA""	""""	""""	""""	""TPBOPLA-TVZ01""	""Bopla Aluminium Behuizing A115, Aluminium onderbak RAL7001 175x80x57mm""	""100,0""	""0,00""	""0,00""
""IOA2300171""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""250,0""	""129,80""	""32.450,00""
""IOA2300171""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""30,0""	""143,30""	""4.299,00""
""IOA2300171""	""""	""Huba Control""	""""	""""	""""	""713.8120308110""	""713.8120308110  - analoge sensor met bereik van 0.8-tot 2 Bar  met een kabel lengte van 30 meter""	""1,0""	""198,57""	""198,57""
""IOA2300170""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2300169""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""6,0""	""378,00""	""2.268,00""
""IOA2300168""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""150,0""	""129,80""	""19.470,00""
""IOA2300167""	""""	""GDK plastics""	""""	""""	""""	""100.990070001""	""Watermeterhuis LV4,5 kort""	""2.000,0""	""1,52""	""3.040,00""
""IOA2300166""	""""	""Sinus Messtechnik""	""""	""""	""""	""801514.1""	""W6 Windscreen for WS1 Diameter=140mm""	""12,0""	""0,00""	""0,00""
""IOA2300165""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""119,30""	""14.912,50""
""IOA2300164""	""""	""GOBA""	""""	""""	""""	""XXX-WRK-THIRDPARTYKlasse 1 geluidsmeter 30 280,00 8.400,00
Uitgevoerd in RVS 316""	""Klasse 1 geluidsmeter 30 280,00 8.400,00
Uitgevoerd in RVS 316 / POM zwart""	""10,0""	""280,00""	""2.800,00""
""IOA2300163""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar 4x SInus Tango NMS
msspckb0108""	""2,0""	""383,00""	""766,00""
""IOA2300162""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2300162""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""0,00""	""0,00""
""IOA2300162""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""ER3416M with Wires, connector""	""ER3416M 3.6V, 14Ah, wire length: 8cm, AWG22, connector: MC34481, 2 pin, 2.54mm(P1-black. P2-red)""	""1.000,0""	""5,60""	""5.040,00""
""IOA2300162""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""1.000,0""	""1,40""	""1.260,00""
""IOA2300161""	""""	""A1 Electronics""	""""	""""	""""	""ALTYANT-WATER""	""Antenna COREIOT LTE-M 12X24 watermeter 3v1_rev1_A-B wordt aangeleverd door Munsense""	""1.000,0""	""0,00""	""0,00""
""IOA2300161""	""""	""A1 Electronics""	""""	""""	""""	""watermeter_3v1 rev3 Versie B""	""1.000x watermeter_3v1 rev3 versie B""	""1.000,0""	""0,00""	""0,00""
""IOA2300161""	""""	""A1 Electronics""	""""	""""	""""	""ADM4850ACPZ-REEL7""	""ADM4850ACPZ-REEL7 RS485 transceiver""	""1.000,0""	""0,00""	""0,00""
""IOA2300161""	""""	""A1 Electronics""	""""	""""	""""	""LTYELCO50-WATER""	""Wordt geleverd door Munisense LTYELCO50-WATER LIC1030 120F 3.8V""	""1.000,0""	""0,00""	""0,00""
""IOA2300161""	""""	""A1 Electronics""	""""	""""	""""	""LTYSSIMKRT-PLANT""	""LTYSSIMKRT-PLANT MFF SIM NL-GSIMMMFFISSH wordt/is geleverd door IoT Unlimited""	""1.000,0""	""0,00""	""0,00""
""IOA2300161""	""""	""A1 Electronics""	""""	""""	""""	""MGM12P22F1024GA-V4""	""Wordt aangeleverd door Munisense LTMGM12P22F1024GA-V4
   RX TXRX MOD Bluetooth U.FL SMD""	""1.000,0""	""0,00""	""0,00""
""IOA2300160""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""300,0""	""119,30""	""35.790,00""
""IOA2300159""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""15,0""	""157,31""	""2.359,65""
""IOA2300159""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""129,80""	""16.225,00""
""IOA2300158""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""200,0""	""119,30""	""23.860,00""
""IOA2300157""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar 4x SInus Tango NMS
msspckb0108""	""1,0""	""383,00""	""383,00""
""IOA2300156""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""119,30""	""14.912,50""
""IOA2300155""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""800,0""	""5,80""	""4.176,00""
""IOA2300155""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""980,00""	""882,00""
""IOA2300155""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""900,0""	""1,40""	""1.134,00""
""IOA2300155""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2300154""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""119,30""	""14.912,50""
""IOA2300153""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00168""	""OPTOD Sensor Stainless Steel, 7 meters cable, bare wire""	""1,0""	""637,00""	""637,00""
""IOA2300153""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00156""	""C4E Sensor, 15 meters cable, bare wire""	""1,0""	""504,40""	""504,40""
""IOA2300153""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00172""	""pH-ORP Sensor, 7 meter cable, bare wire""	""1,0""	""418,60""	""418,60""
""IOA2300153""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00174""	""NTU Sensor, 7 meters cable, bare wire""	""1,0""	""1.101,75""	""1.101,75""
""IOA2300153""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00155""	""Cartridge for pH-ORP Sensor""	""1,0""	""196,95""	""196,95""
""IOA2300153""	""""	""AquaLabo""	""""	""""	""""	""PF-CSO-C-00041""	""PF-CSO-C-00041 - Strainer with DODISK part for Optod sensorwire""	""1,0""	""139,10""	""139,10""
""IOA2300152""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar 4x SInus Tango NMS
msspckb0108""	""1,0""	""383,00""	""383,00""
""IOA2300151""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar 4x SInus Tango NMS msspak60426
msspak60423
msspak60425
msspak60424""	""4,0""	""383,00""	""1.532,00""
""IOA2300151""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd) Sinus Tango Plus #001902""	""1,0""	""383,00""	""383,00""
""IOA2300150""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""75,0""	""129,80""	""9.735,00""
""IOA2300150""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""50,0""	""143,30""	""7.165,00""
""IOA2300149""	""""	""GOBA""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Transducer handmeter
Probe housing volgens aangeleverde Step en bijgaande mail""	""15,0""	""59,13""	""886,95""
""IOA2200148""	""""	""Sinus Messtechnik""	""""	""""	""""	""TPWS1-70""	""Model Model W7 Sinus article number 801668.1 
 wind screen 70 mm for NPx en SPx NMS stations (has been certified by PTB in combination with SPA/SPC)""	""50,0""	""29,00""	""1.450,00""
""IOA2200147""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""193,0""	""119,30""	""23.024,90""
""IOA2200146""	""""	""GOBA""	""""	""""	""""	""Behuizing Piezo transducer""	""Aan derden uitbesteed werkBehuizing Piezo transducer (5st.) 1 159,50 159,50
Aluminium volgens opgave.""	""5,0""	""31,90""	""159,50""
""IOA2200145""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-LIC1030""	""LIC1030 120F 3.8V""	""800,0""	""1,40""	""1.008,00""
""IOA2200145""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""1.780,00""	""1.602,00""
""IOA2200145""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""ER3416M with Wires, connector""	""ER3416M 3.6V, 14Ah, wire length: 8cm, AWG22, connector: MC34481, 2 pin, 2.54mm(P1-black. P2-red)""	""800,0""	""5,60""	""4.032,00""
""IOA2200145""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2200145""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615 with a JST PHR-2 connector""	""ER34615, 3.6V, 19Ah with 5 cm wire and with a JST PHR-2 connector or Wurth 620002113322 (WR-WTB 2.0mm Female Terminal Housing, 2 pins) or equivalent. See below for the orientation of the wires""	""800,0""	""5,80""	""4.176,00""
""IOA2200144""	""""	""A1 Electronics""	""""	""""	""""	""LTMGM12P32F1024GA""	""Wordt aangeleverd door Munisense LTMGM12P32F1024GA-V4   RX TXRX MOD Bluetooth U.FL SMD""	""650,0""	""0,00""	""0,00""
""IOA2200144""	""""	""A1 Electronics""	""""	""""	""""	""Aanpassen PCB""	""Aanpassen PCB door A1  soldeer brug leggen naar massa pootje 3 T1 zie bijlage  werkelijke kosten nog te bepalen sowieso 1 € per minuut verwachte tijd per PCB 1 tot max 2 minuten""	""650,0""	""1,00""	""650,00""
""IOA2200144""	""""	""A1 Electronics""	""""	""""	""""	""LTYELCO50-WATER""	""Wordt geleverd door Munisense LTYELCO50-WATER LIC1030 120F 3.8V""	""650,0""	""0,00""	""0,00""
""IOA2200144""	""""	""A1 Electronics""	""""	""""	""""	""LTYSSIMKRT-PLANT""	""LTYSSIMKRT-PLANT MFF SIM NL-GSIMMMFFISSH wordt/is geleverd door IoT Unlimited""	""650,0""	""0,00""	""0,00""
""IOA2200144""	""""	""A1 Electronics""	""""	""""	""""	""ALTYANT-WATER""	""Antenna COREIOT LTE-M 12X24 watermeter 3v1_rev1_A-B wordt aangeleverd door Munsense""	""650,0""	""0,00""	""0,00""
""IOA2200144""	""""	""A1 Electronics""	""""	""""	""""	""Watermeter 3V1-REV2_A""	""500x Watermeter 3V1-REV2_A""	""650,0""	""0,00""	""0,00""
""IOA2200143""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2200142""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""200,0""	""119,30""	""23.860,00""
""IOA2200141""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2200140""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""75,0""	""119,30""	""8.947,50""
""IOA2200140""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""50,0""	""114,20""	""5.710,00""
""IOA2200139""	""""	""Huba Control""	""""	""""	""""	""712.99016""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""100,0""	""106,79""	""10.679,00""
""IOA2200139""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""25,0""	""119,30""	""2.982,50""
""IOA2200138""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2200137""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""2,0""	""383,00""	""766,00""
""IOA2200136""	""""	""GOBA""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Kunststof voet en Hals NP2/SP7 klasse 2 versie""	""50,0""	""0,00""	""0,00""
""IOA2200135""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Bank charge""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2200135""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""Freight fee""	""Freight fee""	""1,0""	""468,00""	""421,20""
""IOA2200135""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""ZZZ-BAT-LIION-2S4P-7.4V-14000mAh""	""2S4P 7.4V 14000mAh Li-ion Battery pack""	""75,0""	""35,80""	""2.416,50""
""IOA2200134""	""""	""Huba Control""	""""	""""	""""	""712.99016""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""106,79""	""13.348,75""
""IOA2200133""	""""	""Wittich & Visser""	""""	""""	""""	""TPDVS-6466-M""	""6466-M  AeroCone Rain Collector
resolutie 0.2 mm 
incl. 12 mtr kabel
incl. vernieuwde vuilstopper/zeef/bird spikes
voor plaatsing of bevestiging op een vlakke ondergrond""	""20,0""	""125,00""	""2.250,00""
""IOA2200132""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2200131""	""""	""A1 Electronics""	""""	""""	""""	""Aanpassen PCB""	""Aanpassen PCB door A1  soldeer brug leggen naar massa pootje 3 T1 zie bijlage  werkelijke kosten nog te bepalen sowieso 1 € per minuut verwachte tijd per PCB 1 tot max 2 minuten""	""700,0""	""1,00""	""700,00""
""IOA2200131""	""""	""A1 Electronics""	""""	""""	""""	""Watermeter 3V1-REV2_B""	""70x Watermeter 3V1-REV2_B""	""70,0""	""0,00""	""0,00""
""IOA2200131""	""""	""A1 Electronics""	""""	""""	""""	""Watermeter 3V1-REV2_A""	""630x Watermeter 3V1-REV2_A""	""630,0""	""0,00""	""0,00""
""IOA2200131""	""""	""A1 Electronics""	""""	""""	""""	""ALTYANT-WATER""	""Antenna COREIOT LTE-M 12X24 watermeter 3v1_rev1_A-B wordt aangeleverd door Munsense""	""700,0""	""0,00""	""0,00""
""IOA2200131""	""""	""A1 Electronics""	""""	""""	""""	""LTYELCO50-WATER""	""Wordt geleverd door Munisense LTYELCO50-WATER LIC1030 120F 3.8V""	""700,0""	""0,00""	""0,00""
""IOA2200131""	""""	""A1 Electronics""	""""	""""	""""	""LTMGM12P32F1024GA""	""Wordt aangeleverd door Munisense LTMGM12P32F1024GA-V4   RX TXRX MOD Bluetooth U.FL SMD""	""658,0""	""0,00""	""0,00""
""IOA2200131""	""""	""A1 Electronics""	""""	""""	""""	""LTYSSIMKRT-PLANT""	""LTYSSIMKRT-PLANT MFF SIM NL-GSIMMMFFISSH wordt geleverd door IoT Unlimited""	""410,0""	""0,00""	""0,00""
""IOA2200130""	""""	""Huba Control""	""""	""""	""""	""713.8120110110""	""Analoog 713.8120110110 Huba sensor 18mm kabel lengte 50m 0.8-2 bar ratiometrische versie, voeding 5 VDC en uitgang 10 – 90% van die 5 Volt.""	""1,0""	""220,43""	""220,43""
""IOA2200130""	""""	""Huba Control""	""""	""""	""""	""713.8120107110""	""Analoog 713.8120107110 Huba sensor 18mm kabel lengte 25m 0.8-2 bar ratiometrische versie, voeding 5 VDC en uitgang 10 – 90% van die 5 Volt.""	""3,0""	""157,23""	""471,69""
""IOA2200130""	""""	""Huba Control""	""""	""""	""""	""713.8120108110""	""Analoog 713.8120108110 Huba sensor 18mm kabel lengte 30m 0.8-2 bar ratiometrische versie, voeding 5 VDC en uitgang 10 – 90% van die 5 Volt.""	""1,0""	""169,87""	""169,87""
""IOA2200130""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""18,0""	""131,71""	""2.370,78""
""IOA2200130""	""""	""Huba Control""	""""	""""	""""	""713.8120109110""	""Analoog 713.8120109110 Huba sensor 18mm kabel lengte 40m 0.8-2 bar ratiometrische versie, voeding 5 VDC en uitgang 10 – 90% van die 5 Volt.""	""2,0""	""195,15""	""390,30""
""IOA2200130""	""""	""Huba Control""	""""	""""	""""	""712.99016""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""100,0""	""106,79""	""10.679,00""
""IOA2200129""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""2,0""	""383,00""	""766,00""
""IOA2200128""	""""	""GOBA""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Vervaardigen volgens opgegevn instructies van Timo Duindam 3x een behuizing piezo transducer van (RVS 0.5MM)  En gaatje boren in Ceramische microfoon. Levertijd 4 weken na ontvangt van opdracht.""	""3,0""	""78,23""	""234,68""
""IOA2200127""	""""	""Huba Control""	""""	""""	""""	""712.99016""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""75,0""	""106,79""	""8.009,25""
""IOA2200127""	""""	""Huba Control""	""""	""""	""""	""712.99016""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""50,0""	""106,79""	""5.339,50""
""IOA2200126""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""2,0""	""383,00""	""766,00""
""IOA2200125""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2200124""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2200123""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""20,0""	""131,71""	""2.634,20""
""IOA2200123""	""""	""Huba Control""	""""	""""	""""	""713.99001""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""105,0""	""119,30""	""12.526,50""
""IOA2200122""	""""	""Sinus Messtechnik""	""""	""""	""""	""TPWS1-70""	""Model Model W7 Sinus article number  801668.1  wind screen 70 mm for NPx en SPx NMS stations (has been certified by PTB in combination with SPA/SPC)""	""30,0""	""29,00""	""870,00""
""IOA2200121""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""4,0""	""383,00""	""1.532,00""
""IOA2200120""	""""	""Wittich & Visser""	""""	""""	""""	""TPDVS-6466-M""	""6466-M  AeroCone Rain Collector
resolutie 0.2 mm 
incl. 12 mtr kabel
incl. vernieuwde vuilstopper/zeef/bird spikes
voor plaatsing of bevestiging op een vlakke ondergrond""	""90,0""	""115,00""	""8.280,00""
""IOA2200119""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00169""	""ODEON® X set* No probe included A set consit on : - 1 ODEON X Meter with 2 probe channels and Open Technology - 1 PC/ODEON Cable - ODEON Wiever PCsoftware - 1 outdoor carrying case
PF-ACC-C-00082 Cable : 1 bare wires digital sensor / ODEON ( Adapter for ODEON)
NC-ACC-C-00001 Set of rechargeable batteries for ODEON""	""3,0""	""836,45""	""2.509,35""
""IOA2200119""	""""	""AquaLabo""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Porto cost""	""1,0""	""67,10""	""67,10""
""IOA2200118""	""""	""GDK plastics""	""""	""""	""""	""100.990070003""	""Watermeterdop LV4,5 laag""	""2.200,0""	""0,72""	""1.584,00""
""IOA2200118""	""""	""GDK plastics""	""""	""""	""""	""100.990070001""	""Watermeterhuis LV4,5 kort""	""2.000,0""	""1,42""	""2.840,00""
""IOA2200117""	""""	""SONOR Kalibratie B.V.""	""SCA200454 Gemeente Leeuwarden, geluid""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""2,0""	""383,00""	""766,00""
""IOA2200116""	""""	""Huba Control""	""""	""""	""""	""712.99016""	""digital+temp (3 bytes), 5m kabel, 0,8 - 1,4 bara, speciale konfectie""	""125,0""	""100,15""	""12.518,75""
""IOA2200115""	""""	""Wellshow""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""IPEX to 1.37(BK) to 
SMA(F)ra.bh.w/o-ring(5psi).,L=200mm(3GHz)
End A:20351-112R-37
End B: C02BDWS137073T-1
Cable:1.37,Black.,L=200+/-7mm
Orientation:IPEX face down, D flat of
SMA face front.""	""400,0""	""3,68""	""1.324,80""
""IOA2200114""	""""	""SONOR Kalibratie B.V.""	""SCA200454 Gemeente Leeuwarden, geluid""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
""IOA2200113""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie 1 keer per 2 jaar""	""1,0""	""383,00""	""383,00""
